note_id,key,simplified,old_traditional,new_traditional,wiktionary_corroborates
1393817665756,107,没关系,沒關系,沒關係,yes
1393817665938,289,手表,手表,手錶,yes
1393817665939,290,旅游,旅游,旅遊,yes
1393817665945,296,面条,面條,麵條,yes
1393817665994,345,最后,最后,最後,yes
1393817666113,464,后来,后來,後來,yes
1393817666130,481,干净,干淨,乾淨,yes
1393817666166,517,面包,面包,麵包,yes
1393817666210,561,锻炼,鍛煉,鍛鍊,yes
1393817666249,600,刮风,刮風,颳風,yes
1393817666289,640,只要,隻要,只要,yes
1393817666310,661,保证,保証,保證,yes
1393817666340,691,联系,聯系,聯繫,yes
1393817666341,692,证明,証明,證明,yes
1393817666401,752,挂,挂,掛,yes
1393817666455,806,尽管,盡管,儘管,yes
1393817666472,823,杂志,雜志,雜誌,yes
1393817666520,871,复杂,復雜,複雜,yes
1393817666566,917,干杯,干杯,乾杯,yes
1393817666587,938,后悔,后悔,後悔,yes
1393817666615,966,标准,標准,標準,yes
1393817666622,973,饼干,餅干,餅乾,yes
1393817666687,1038,准确,准確,準確,yes
1393817666700,1051,只好,隻好,只好,yes
1393817666710,1061,公里,公裡,公里,yes
1393817666713,1064,准时,准時,準時,yes
1393817666796,1147,签证,簽証,簽證,yes
1393817666805,1156,理发,理發,理髮,yes
1393817666806,1157,复印,復印,複印,yes
1393817666817,1168,导游,導游,導遊,yes
1393817666889,1240,证据,証據,證據,yes
1393817667110,1461,制造,制造,製造,yes
1393817667142,1493,范围,范圍,範圍,yes
1393817667152,1503,制作,制作,製作,yes
1393817667176,1527,重复,重復,重複,yes
1393817667236,1587,建筑,建筑,建築,yes
1393817667299,1650,后果,后果,後果,yes
1393817667397,1748,标志,標志,標誌,yes
1393817667473,1824,干脆,干脆,乾脆,yes
1393817667482,1833,夸张,夸張,誇張,yes
1393817667487,1838,电台,電台,電臺,yes
1393817667491,1842,糊涂,糊涂,糊塗,yes
1393817667509,1860,复制,復制,複製,yes
1393817667580,1931,注册,注冊,註冊,yes
1393817667590,1941,业余,業余,業餘,yes
1393817667611,1962,象征,象征,象徵,yes
1393817667654,2005,赞美,贊美,讚美,yes
