zh,en
“把”字句,"bǎ-construction"
“是”字句,"shì-construction"
“是……的”句,"shì…de construction"
“有”字句,"yǒu-construction"
不用关联词语的复句,"complex sentence without connectives"
主语,"subject"
人称代词,"personal pronoun"
介词,"preposition"
代词,"pronoun"
假设复句,"hypothetical complex sentence"
关联副词,"correlative adverb"
其他,"other"
其他助词,"other particles"
其他结构类型,"other structural types"
其他（话语标记）,"other (discourse markers)"
兼语句,"pivotal sentence"
判断副词,"judgment adverb"
前缀,"prefix"
副词,"adverb"
功能类型,"functional type"
动作的态,"aspect"
动态助词,"aspect particle"
动词,"verb"
动词性短语,"verbal phrase"
动词重叠,"verb reduplication"
动量词,"verbal classifier"
助词,"particle"
单句,"simple sentence"
双宾语句,"double-object sentence"
双重否定句,"double negative sentence"
反问句,"rhetorical question"
变化态,"inchoative aspect"
句型,"sentence pattern"
句子成分,"sentence elements"
句子的类型,"sentence types"
句类,"sentence class"
可能补语,"potential complement"
叹词,"interjection"
名词,"noun"
名词性短语,"nominal phrase"
名量词,"nominal classifier"
后缀,"suffix"
否定副词,"negative adverb"
四字格,"four-character set phrase"
因果复句,"causal complex sentence"
固定格式,"fixed patterns"
固定短语,"fixed phrase"
基本结构类型,"basic structural type"
复句,"complex sentence"
复合量词,"compound classifier"
多重复句,"multi-layered complex sentence"
存现句,"existential sentence"
完成态,"perfective aspect"
定语,"attributive"
宾语,"object"
并列复句,"coordinate complex sentence"
引出凭借、依据,"introducing means or basis"
引出原因,"introducing cause"
引出对象,"introducing the object"
引出方向、路径,"introducing direction or path"
引出施事、受事,"introducing agent or patient"
引出时间、处所,"introducing time or place"
引出目的、原因,"introducing purpose or cause"
形容词,"adjective"
形容词性短语,"adjectival phrase"
形容词重叠,"adjective reduplication"
情态副词,"modal adverb"
感叹句,"exclamatory sentence"
承接复句,"sequential complex sentence"
持续态,"continuous aspect"
指示代词,"demonstrative pronoun"
数的表示法,"expressing numbers"
数的表达法,"expressing numbers"
数词,"numeral"
数量代词,"quantitative pronoun"
数量补语,"quantity complement"
方位名词,"locative noun"
方式副词,"manner adverb"
时量词,"time classifier"
时间副词,"time adverb"
时间表示法,"expressing time"
条件复句,"conditional complex sentence"
比较句,"comparative sentence"
特殊句型,"special sentence pattern"
特殊句式,"special construction"
特殊表达法,"special expressions"
状态补语,"state complement"
状语,"adverbial"
疑问代词,"interrogative pronoun"
疑问句,"interrogative sentence"
目的复句,"purpose complex sentence"
短语,"phrases"
祈使句,"imperative sentence"
离合词,"separable verb"
程度副词,"degree adverb"
程度补语,"degree complement"
简单复句,"simple complex sentence"
类前缀,"prefix-like element"
类后缀,"suffix-like element"
紧缩复句,"contracted complex sentence"
经历态,"experiential aspect"
结构助词,"structural particle"
结构类型,"structural type"
结果补语,"resultative complement"
能愿动词,"modal verb"
范围副词,"scope adverb"
补语,"complement"
表示排除,"expressing exclusion"
表示时间、处所的词语作状语,"time and place words as adverbials"
被动句,"passive sentence"
解说复句,"explanatory complex sentence"
让步复句,"concessive complex sentence"
词类,"word classes"
语段（句群）,"discourse (sentence groups)"
语气副词,"mood adverb"
语气助词,"modal particle"
语素,"morphemes"
谓语,"predicate"
趋向补语,"directional complement"
转折复句,"adversative complex sentence"
进行态,"progressive aspect"
连动句,"serial verb sentence"
连接分句或句子,"linking clauses or sentences"
连接分句或者句子,"linking clauses or sentences"
连接词或短语,"linking words or phrases"
连接词或者短语,"linking words or phrases"
连接词或词组,"linking words or phrases"
连接词或词组以及分句或句子,"linking words, phrases, clauses or sentences"
连接词语或短语,"linking words or phrases"
连词,"conjunction"
选择复句,"alternative complex sentence"
递进复句,"progressive complex sentence"
重动句,"verb-copying sentence"
量词,"classifier"
量词重叠,"classifier reduplication"
陈述句,"declarative sentence"
频率副词,"frequency adverb"
副词、形容词作状语,"adverbs and adjectives as adverbials"
