entry,pos,meaning
可以,动,can/may/possible/able to
可以,形,not bad/pretty good
工作,动,to work/(of a machine) to operate
工作,名,job/work/task
病,名,illness/disease/defect
病,动,to fall ill
忙,形,busy/hurriedly
忙,动,to hurry/to rush
差不多,形,about the same/good enough/not bad
差不多,副,almost/nearly/more or less
可能,形,possible/probable
可能,名,possibility/probability
可能,动,might (happen)/maybe/perhaps
不行,动,not work/not be capable
不行,形,won't do/be out of the question/be no good
爱好,动,to like; to be fond of; to take pleasure in; to be keen on
爱好,名,interest; hobby
开始,动,to begin/to start
开始,名,beginning/initial
考试,动,to take an exam
考试,名,exam
努力,动,to make an effort; to try hard; to strive
努力,形,hard-working; conscientious
明白,形,clear; obvious; unequivocal/sensible; reasonable
明白,动,to understand; to realize
变化,动,(intransitive) to change; to vary
变化,名,change; variation
需要,动,to need; to want; to demand; to require
需要,名,needs
半,数,half/(after a number) and a half
半,副,semi-/incomplete
点1,量,classifier for small amounts/a small amount; a bit; (after a verb or adjective) a bit more
点1,名,point; dot; spot; speck/point in time or space/(after a number) o'clock/(math.) decimal point/dot stroke in Chinese characters
对,形,right; correct/(bound form) opposite; facing; matching
对,介,towards; at; for/concerning; regarding
对,动,to treat (sb a certain way)/to face/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare
对,量,classifier: couple; pair
多,形,many; much; more; a lot of/too many; in excess/(bound form) multi-; poly-
多,代,how (to what extent) (Taiwan pr. [duo2])
多,数,(after a numeral) ... odd
分,量,one tenth (of certain units)/unit of length equivalent to 0.33 cm/minute (unit of time)/minute (angular measurement unit)/a point (in sports or games)/0.01 yuan (unit of money)
分,动,to divide; to separate/to distribute; to allocate/to distinguish (good and bad)
分,名,(bound form) branch of (an organization); sub- (as in 分局[fen1 ju2])/fraction
给,动,to give/to allow/to do sth (for sb)
给,介,to/for/for the benefit of/(grammatical equivalent of 被)/(grammatical equivalent of 把)/(sentence intensifier)
几,代,how much/how many
几,数,several/a few
家,名,"home/family/(polite) my (sister, uncle etc)/refers to the philosophical schools of pre-Han China"
家,量,classifier for families or businesses
家,后缀,"noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian"
叫,动,to shout/to call/to order/to ask/to be called
叫,介,by (indicates agent in the passive mood)
口,名,mouth
口,量,"classifier for things with mouths (people, domestic animals, cannons, wells etc)/classifier for bites or mouthfuls"
没有,动,doesn't exist/to not have/to not be
没有,副,haven't/hasn't
那,代,"(specifier) that; the; those (colloquial pr. [nei4])/(pronoun) that (referring to persons, things or situations)"
那,连,then (in that case)
上,名,(bound form) up; upper; above; previous/first (of multiple parts)/(noun suffix) on; above
上,动,to climb; to get onto; to go up/to attend (class or university)/(directional complement) up
少,形,few/less/seldom
少,动,to lack/to be missing/to stop (doing sth)
天,名,sky/heaven
天,量,day
下,名,down/downwards/below/lower/later/next (week etc)/second (of two parts)
下,动,"to decline/to go down/to arrive at (a decision, conclusion etc)"
下,量,measure word to show the frequency of an action
一下,数量,"(after a verb) a bit; a little (indicating brief duration, or softening the tone, or suggesting giving sth a try)"
一下,副,all at once; suddenly
有些,代,some
有些,副,somewhat
在,动,to exist; to be alive/(of sb or sth) to be (located) at
在,副,(used before a verb to indicate an action in progress)
真,副,really/truly/indeed
真,形,real/true/genuine
班,名,team; class; grade/(military) squad/work shift
班,量,classifier for groups of people and scheduled transport vehicles
包,动,to cover/to wrap/to hold/to include/to take charge of/to contract (to or for)/to hold or embrace
包,名,package/wrapper/container/bag
包,量,bundle/packet
但,连,but; yet; however; still
但,副,merely; only; just
等1,动,to wait for; to await
等1,介,by the time; when; till
跟,介,with/compared with/to/towards
跟,连,and (joining two nouns)
跟,名,heel
跟,动,to follow closely/to go with/(of a woman) to marry sb
还是,副,still (as before)/had better/unexpectedly
还是,连,or
花2,名,flower/blossom/fancy pattern
花2,形,florid/(coll.) lecherous/lustful
画,动,to draw; to paint/to draw (a line) (variant of 劃|划[hua4])
画,名,picture; painting/stroke of a Chinese character (variant of 劃|划[hua4])/(calligraphy) horizontal stroke (variant of 劃|划[hua4])
间,量,classifier for rooms
间,名,between/among/within a definite time or space/room/section of a room or lateral space between two pairs of pillars
累,形,tired/weary
累,动,to strain/to wear out/to work hard
面1,名,face/side/surface/aspect/top
面1,量,"classifier for objects with flat surfaces such as drums, mirrors, flags etc"
那么,代,like that; in that way; to that extent/(before a number) ... or so; about ...
那么,连,then; in that case
让,动,to yield/to permit/to let sb do sth/to have sb do sth/to make sb (feel sad etc)
让,介,"by (indicates the agent in a passive clause, like 被[bei4])"
时,名,o'clock/time/when/season/period
时,量,hour
疼,形,(it) hurts; sore
疼,动,to love dearly
条,量,"classifier for long thin things (ribbon, river, road, trousers etc)"
条,名,strip/item/article/clause (of law or treaty)
姓,名,family name; surname
姓,动,to be surnamed ...
因为,介,owing to/on account of
因为,连,because
运动,动,to move/to exercise
运动,名,sports/exercise/motion/movement/campaign
比赛,动,to compete
比赛,名,competition (sports etc)/match
打算,动,to plan/to intend/to calculate
打算,名,plan/intention/calculation
大概,形,rough/approximate
大概,副,roughly/probably/about
大概,名,general idea
带,动,to wear/to carry/to take along/to bear (i.e. to have)/to lead/to bring/to look after/to raise
带,名,band/belt/girdle/ribbon/tire/area/zone/region
得分,动,"to score a point (in a competition, test etc)"
得分,名,score; rating; grade
电,名,lightning/electricity/electric (bound form)/phone call or telegram etc
电,动,to get (or give) an electric shock/to send via telephone or telegram etc
封,量,"classifier for sealed objects, esp. letters"
封,动,to confer/to grant/to bestow a title/to seal
感冒,名,(common) cold
感冒,动,to catch cold/(coll.) to be interested in (often used in the negative)/(Tw) to detest/can't stand
根据,介,according to/based on
根据,名,basis/foundation
关,动,"to close; to shut; to turn off/to confine; to lock (sb) up; to shut (sb in a room, a bird in a cage etc)/to concern; to involve"
关,名,mountain pass
关系,名,relation/relationship/guanxi
关系,动,to concern/to affect/to have to do with
好像,动,to seem like
好像,副,as if
或,连,or
或,副,maybe/perhaps/might/possibly
急,形,urgent/pressing/rapid/hurried/worried
急,动,to make (sb) anxious
节,量,"classifier for segments: lessons, train wagons, biblical verses etc/knot (nautical miles per hour)"
节,名,joint; node/(bound form) section; segment/solar term (one of the 24 divisions of the year in the traditional Chinese calendar)/seasonal festival/(bound form) moral integrity; chastity
节,动,(bound form) to economize; to save
经过,动,to pass/to go through
经过,名,process/course
老,形,old (of people)/venerable (person)/experienced/of long standing/of the past/outdated/(of meat etc) tough
老,前缀,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity
老,副,always/all the time/very
练习,动,to practice
练习,名,exercise/drill/practice
牛,名,ox/cow/bull/newton (abbr. for 牛頓|牛顿[niu2 dun4])
牛,形,(slang) awesome
