chinese,pinyin
小高去哪儿了？,Xiǎo Gāo qù nǎr le?
今天我们学习第一课。,Jīntiān wǒmen xuéxí dì yī kè.
同学们，你们好！,"Tóngxuémen, nǐmen hǎo!"
学校里边有超市。,Xuéxiào lǐbian yǒu chāoshì.
外边正在下雨呢。,Wàibian zhèngzài xià yǔ ne.
电影院在医院的后边。,Diànyǐngyuàn zài yīyuàn de hòubian.
桌子上有几本书？,Zhuōzi shàng yǒu jǐ běn shū?
书店里的人很多。,Shūdiàn lǐ de rén hěn duō.
他们都在国外。,Tāmen dōu zài guówài.
我会说中文。,Wǒ huì shuō Zhōngwén.
他不会开车。,Tā bú huì kāi chē.
你明天能不能去？,Nǐ míngtiān néng bu néng qù?
她生病了，不能来上课。,"Tā shēngbìng le, bù néng lái shàng kè."
我想买一些水果。,Wǒ xiǎng mǎi yìxiē shuǐguǒ.
你想喝茶吗？,Nǐ xiǎng hē chá ma?
他们要去书店。,Tāmen yào qù shūdiàn.
我要学习汉语。,Wǒ yào xuéxí Hànyǔ.
这儿不可以吃东西。,Zhèr bù kěyǐ chī dōngxi.
我可以问一个问题吗？,Wǒ kěyǐ wèn yí ge wèntí ma?
他去医院看病了。,Tā qù yīyuàn kànbìng le.
我想睡一觉，休息一下（儿）。,"Wǒ xiǎng shuì yí jiào, xiūxi yí xià(r)."
上课不要说话。,Shàng kè bú yào shuōhuà.
今天我上中文课。,Jīntiān wǒ shàng Zhōngwén kè.
我下了课要去食堂。,Wǒ xiàle kè yào qù shítáng.
下了班你做什么？,Xiàle bān nǐ zuò shénme?
她昨天生病了。,Tā zuótiān shēngbìng le.
你弟弟多大？,Nǐ dìdi duō dà?
这件衣服多少钱？,Zhè jiàn yīfu duōshao qián?
现在几点？,Xiànzài jǐ diǎn?
她是哪国人？,Tā shì nǎ guó rén?
你去哪儿？,Nǐ qù nǎr?
你住在哪里？,Nǐ zhù zài nǎlǐ?
哪些是汉语书？,Nǎxiē shì Hànyǔ shū?
那是什么？,Nà shì shénme?
那个人是谁？,Nàge rén shì shéi?
你怎么去学校？,Nǐ zěnme qù xuéxiào?
明天天气怎么样？,Míngtiān tiānqì zěnmeyàng?
我是学生。,Wǒ shì xuésheng.
