chinese,english
小高去哪儿了？,Where has Xiao Gao gone?
今天我们学习第一课。,Today we're going to study Lesson 1.
同学们，你们好！,"Hello, everyone!"
学校里边有超市。,There is a supermarket on the school premises.
外边正在下雨呢。,It's raining outside.
电影院在医院的后边。,The cinema is behind the hospital.
桌子上有几本书？,How many books are there on the table?
书店里的人很多。,There were a lot of people in the bookshop.
他们都在国外。,They are all abroad.
我会说中文。,I speak Chinese.
他不会开车。,He can't drive.
你明天能不能去？,Can you go tomorrow?
她生病了，不能来上课。,She is ill and cannot come to class.
我想买一些水果。,I'd like to buy some fruit.
你想喝茶吗？,Would you like some tea?
他们要去书店。,They're going to the bookshop.
我要学习汉语。,I want to learn Chinese.
这儿不可以吃东西。,You're not allowed to eat here.
我可以问一个问题吗？,May I ask a question?
他去医院看病了。,He went to the hospital for a check-up.
我想睡一觉，休息一下（儿）。,I'd like to have a sleep and get some rest.
上课不要说话。,Please do not talk during lessons.
今天我上中文课。,I'm having a Chinese lesson today.
我下了课要去食堂。,I'm going to the canteen after class.
下了班你做什么？,What do you do after work?
她昨天生病了。,She was ill yesterday.
你弟弟多大？,How old is your brother?
这件衣服多少钱？,How much does this top cost?
现在几点？,What time is it?
她是哪国人？,What nationality is she?
你去哪儿？,Where are you going?
你住在哪里？,Where do you live?
哪些是汉语书？,Which books are in Chinese?
那是什么？,What's that?
那个人是谁？,Who is that person?
你怎么去学校？,How do you get to school?
明天天气怎么样？,What's the weather going to be like tomorrow?
我是学生。,I am a student.
你是哪国人？,What nationality are you?
老师，您好！,"Hello, teacher!"
他会开车吗？,Can he drive?
她是不是老师？,Is she a teacher?
我们都是大学生。,We are all university students.
你们是学生吗？,Are you students?
他们去哪儿了？,Where have they gone?
她们都是我的朋友。,They're all my friends.
你看，它正在吃饭呢。,"Look, it's having a meal."
这些小狗真漂亮，它们叫什么名字？,These puppies are really lovely. What are their names?
大家都喜欢学习汉语。,Everyone enjoys learning Chinese.
这是谁的书？,Whose book is this?
那个手机多少钱？,How much does that mobile cost?
我在这儿学习中文。,I'm learning Chinese here.
那儿有一家书店。,There's a bookshop there.
这里是我的家。,This is my home.
那里有一家饭店。,There's a restaurant there.
这些是老师的书。,These are the teacher's books.
我不认识那些人。,I don't know those people.
到了饭店，大家有的想吃米饭，有的想吃面条。,"When we arrived at the restaurant, some of us fancied rice, whilst others fancied noodles."
这个杯子多少钱？,How much is this cup?
她在那个房间。,She's in that room.
有些学生不在学校住。,Some students do not live at school.
一个、两百、五十八、一百零六、两千三百五十、九点半、半个小时,"One, two hundred, fifty-eight, one hundred and six, two thousand three hundred and fifty, half past nine, half an hour"
这本书是中文书。,This book is in Chinese.
我吃了两个包子。,I ate two buns.
前边有一家书店。,There's a bookshop up ahead.
你家有几口人？,How many people are there in your family?
我有十块钱。,I have ten yuan.
这只小猫真漂亮。,That kitten is really lovely.
这件衣服三百元。,This item of clothing costs 300 yuan.
喝杯茶吧。,Why don't you have a cup of tea?
今天几月几日（号）？,What is the date today (the day of the month)?
她今年几岁？,How old is she this year?
现在八点二十分。,It is now 8.20.
一年有十二个月。,There are twelve months in a year.
你一天学习几个汉字？,How many Chinese characters do you learn each day?
我非常喜欢学中文。,I really enjoy learning Chinese.
这里的水果很便宜。,Fruit is very cheap here.
房间里太热了。,It's too hot in the room.
这儿的菜真好吃。,The food here is really delicious.
今天天气有点儿冷。,It's a bit chilly today.
我们都学习汉语。,We are all learning Chinese.
他们都是中国学生。,They are all Chinese students.
他们在做什么？,What are they doing?
学生们正在上课。,The pupils are in class.
我想再买一本。,I'd like to buy another copy.
我再问一个问题，可以吗？,May I ask one more question?
我想吃面条儿，还想吃包子。,"I fancy some noodles, and I fancy some buns as well."
我有两个姐姐，还有一个哥哥。,I have two older sisters and one older brother.
他是学生，我也是学生。,"He's a student, and so am I."
我学习汉语，我弟弟也学习汉语。,"I'm learning Chinese, and my younger brother is learning Chinese too."
她不是老师。,She isn't a teacher.
我没看电视。,I didn't watch the telly.
她去超市了，我没有去。,She went to the supermarket; I didn't go.
请大家不要说话。,"Please, everyone, be quiet."
我想在中国工作。,I would like to work in China.
你在哪儿学习中文？,Where are you learning Chinese?
我没和她一起去超市。,I didn't go to the supermarket with her.
我对老师说“谢谢”。,I said ‘thank you' to the teacher.
我和姐姐都喜欢唱歌。,My sister and I both like singing.
今天和明天都下雨。,It's raining today and tomorrow.
这是你的手机吗？,Is this your mobile phone?
她是我的好朋友。,She is my good friend.
今天我们学了十个汉字。,Today we learnt ten Chinese characters.
我买了一些苹果。,I bought some apples.
我们走吧。,Let's go.
八点了，起床吧。,It's eight o'clock. Time to get up.
她病了，在家休息呢。,She's off sick and resting at home.
他是中国人吗？,Is he Chinese?
这个电影好看吗？,Is this film any good?
她正在学习呢1。,She's studying right now1.
我是中国人，你呢2？,I'm Chinese. What about you?
A：你的手机呢3？,"A: Where's your mobile, 3?"
B：我的手机在房间里。,B: My mobile's in my room.
喂，请问，李老师在吗？,"Hello, excuse me, is Mr Li there?"
喂，你去哪儿？,"Hey, where are you off to?"
哥哥姐姐、今天和明天、有没有,"Big Brother and Big Sister, Today and Tomorrow, Is There Any?"
好朋友、我的书包、很喜欢,"Good friends, my schoolbag, I really like it"
买东西、回学校、去公司,"Going shopping, returning to university, going to work"
我们学习、孩子高兴、房间很大,"We're studying, the children are happy, and the room is very spacious"
一杯、两个,"One cup, two"
在学校（学习）、对老师（说）、和朋友（说汉语）,"At school (studying), with teachers (speaking), and with friends (speaking Chinese)"
桌子上、饭店里、椅子下边,"On the table, in the restaurant, under the chair"
电影很好看。,The film was brilliant.
她是老师。,She is a teacher.
这本书多少钱？,How much does this book cost?
明天星期三。,Tomorrow is Wednesday.
那个饭店怎么样？,What's that restaurant like?
我今年十二，我哥哥十五。,"I'm twelve this year, and my brother is fifteen."
这本书二十八块。,This book costs twenty-eight yuan.
老师来了。,The teacher has arrived.
哥哥去学校了。,My brother has gone to school.
我的房间不大。,My room isn't very big.
这个菜很好吃。,This dish is delicious.
我喝茶。,I'm having a cup of tea.
明天我去找你。,I'll come and see you tomorrow.
我吃了二十个饺子。,I ate twenty dumplings.
她不会唱中文歌。,She can't sing Chinese songs.
我的中文老师是中国人。,My Chinese teacher is Chinese.
我想买便宜的手机。,I'd like to buy a cheap mobile phone.
桌子下边有一只小狗。,There is a little dog under the table.
休息一下吧。,Why don't you have a rest?
请问一下，医院在哪儿？,"Excuse me, where is the hospital?"
我想看一下那件衣服。,I'd like to have a look at that dress.
请写一下你的名字。,Please write your name.
我买了一个面包。,I bought a loaf of bread.
他今天不休息。,He isn't taking the day off today.
今天天气很热。,It's very hot today.
你女儿真漂亮！,Your daughter is really lovely!
今天星期一。,Today is Monday.
现在十二点半。,It's half past twelve now.
对不起！,I'm sorry!
下雨了。,It's raining.
她是我的朋友。,She is my friend.
我不想吃面条儿。,I don't fancy some noodles.
他是哪国人？,What nationality is he?
你想不想学中文？,Would you like to learn Chinese?
你吃没吃晚饭？,Have you had your dinner yet?
同学们都来了没有？,Have all the students arrived yet?
今天冷不冷？,Is it cold today?
您请坐。,Please take a seat.
走吧！,Let's go!
请大家不要说话！,"Please, everyone, be quiet!"
今天真冷啊！,It's really cold today!
太贵了！,That's far too expensive!
我哥哥是大学生。,My brother is a university student.
我有哥哥，没有姐姐。,"I have an older brother, but no older sister."
前边是不是电影院？,Is that a cinema up ahead?
超市后边是一家饭店。,There is a restaurant at the back of the supermarket.
学校外边有一家书店。,There is a bookshop just outside the school.
桌子上有一本中文书。,There is a Chinese book on the table.
我来中国学汉语。,I've come to China to learn Chinese.
晚上我们去电影院看电影。,We're going to the cinema to see a film this evening.
我坐飞机去上海。,I'm flying to Shanghai.
爸爸每天开车上班。,Dad drives to work every day.
老师给我一本书。,The teacher gave me a book.
我问你一个问题。,Let me ask you a question.
这是我哥哥，他学习中文。,This is my brother; he's learning Chinese.
我有一个姐姐，没有妹妹。,"I have an older sister, but no younger sister."
她今天生病了，不能上课。,She's ill today and can't attend lessons.
上午去，下午去？你说。,Shall we go in the morning or in the afternoon? It's up to you.
我喜欢唱歌，我弟弟也喜欢唱歌。,"I like singing, and my younger brother likes singing too."
这家饭店的饺子很好吃，也很便宜。,The dumplings at this restaurant are delicious and very cheap.
这个房间很大，还很漂亮。,This room is very large and very lovely.
我会说英语，还会说汉语。,I speak English and I also speak Chinese.
你学了多少个汉字？,How many Chinese characters have you learnt?
同学们在/正在上课。,The pupils are in class.
王老师在/正在打电话呢。,Mr Wang is on the phone.
我没看电视，学习呢。,I wasn't watching telly; I was studying.
这本书二十四块（钱）。,This book costs twenty-four (cash).
包子三块（钱）一个。,Baozi cost three (coins) each.
今天我们学习第六课。,Today we're studying Lesson 6.
第一本是我的书，第二本是她的书。,"The first one is my book, and the second one is hers."
2022年2月4日,4 February 2022
九月十五号、五月一日,"15 September, 1 May"
星期一、星期二、星期三、星期四、星期五、星期六、星期日/星期天,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday"
两点、七点零五、九点二十（分）、十点半,"Two o'clock, seven past five, twenty past nine, half past ten"
我想坐在教室前面。,I'd like to sit at the front of the classroom.
你的书包里面有什么？,What's in your schoolbag?
学校后面有一家超市。,There is a supermarket behind the school.
左边那件多少钱？,How much is the one on the left?
你右边那个人是谁？,Who's that person on your right?
那本书能给我看看吗？,Could I have a look at that book?
请大家说一说自己的爱好。,Please tell us about your hobbies.
我尝了尝，觉得很好吃。,I had a taste and thought it was delicious.
喝杯茶，休息休息吧。,Have a cup of tea and take a break.
她可能回家了。,She may have gone home.
小猫可能在房间里。,The kitten might be in the room.
你能帮我一个忙吗？,Could you do me a favour?
晚上一起去游游泳，运动一下吧。,Let's go for a swim together this evening and get some exercise.
星期六的晚上，我喜欢和朋友们一起唱唱歌，跳跳舞。,"On Saturday evenings, I like to sing and dance with my friends."
有时间你可以去外面跑跑步。,"If you have time, you could go for a run outside."
他昨天为什么没来上课？,Why didn't he come to class yesterday?
你为什么想学中文？,Why do you want to learn Chinese?
下午我有事，你自己去，可以吗？,"I've got something to do this afternoon, so could you go on your own?"
他为什么学得那么好？,Why is he doing so well at school?
那样的事情经常有。,Things like that happen all the time.
这么多人，我们明天再来吧。,There are so many people here; let's come back tomorrow.
这个字这样写，对吗？,Is this the correct way to write this character?
你每天怎么去学校？,How do you get to school every day?
她高高的个子，大大的眼睛，非常漂亮。,"She is tall, with big eyes, and very pretty."
大家高高兴兴地回家了。,Everyone went home in high spirits.
两万三千、五万零八百、好多东西、好多人、二十多年、五十多人,"23,000, 50,800, lots of things, lots of people, over twenty years, more than fifty people"
一条裤子、一位老师、一间教室、一名学生,"A pair of trousers, a teacher, a classroom, a pupil"
一包衣服、一包书,"A bag of clothes, a bag of books"
去一次、看一次,"Go once, see once"
这只小狗多可爱啊！,What a cute little puppy!
这个教室好大啊！,This classroom is so big!
我最喜欢打篮球。,My favourite thing is playing basketball.
晚上我们一起吃饭吧。,Let's have dinner together tonight.
一起去看电影，怎么样？,Fancy going to the cinema together?
他还没有起床呢。,He hasn't got out of bed yet.
张老师已经下班了。,Mr Zhang has finished work.
我有时（候）去超市买东西。,I sometimes go to the supermarket to do my shopping.
下雨了，快回家吧。,It's started to rain; you'd better head home.
新年快要到了。,The New Year is just round the corner.
我出来的时候，他正睡觉呢。,"When I came out, he was asleep."
我不常坐地铁。,I don't often take the underground.
你经常上网买东西吗？,Do you often shop online?
下雨了，别出去了。,"It's raining, so don't go out."
别忘了，明天有考试。,"Don't forget, there's an exam tomorrow."
我先休息一会儿再工作。,I'll have a short rest before getting back to work.
你洗完手再吃水果。,Wash your hands before eating fruit.
因为身体不舒服，我就没去上课。,I didn't go to class because I wasn't feeling well.
他一到北京就去了长城。,"As soon as he arrived in Beijing, he went to the Great Wall."
都十二点了，快睡觉吧。,It's already midnight; you'd better go to bed.
车站就在那个饭馆旁边。,The station is right next to that restaurant.
就买这件白色的吧。,Let's just go for this white one.
外边很冷，还是多穿一点儿吧。,"It's very cold outside, so you'd better wrap up warm."
我们从八点到十二点上课。,We have lessons from 8 o'clock to 12 o'clock.
你从哪儿来？,Where are you from?
你从这儿往前走。,Go straight ahead from here.
从这儿往下看，真漂亮啊！,The view from here is absolutely stunning!
这路公交车不从学校门口过。,This bus route does not pass by the school gates.
前门没开，咱们从后门进去吧。,"The front door's locked, so let's go in through the back door."
我经常给爸爸妈妈打电话。,I often ring my mum and dad.
我给老师买了一杯咖啡。,I bought the teacher a cup of coffee.
今天比昨天热。,It's hotter today than yesterday.
我觉得红色的比黑色的好看。,I think the red one looks better than the black one.
跟我说说你的爱好吧。,Tell me about your hobbies.
我跟他见过一次。,I've met him once.
因为中国电影，我开始学习中文。,It was because of Chinese films that I started learning Chinese.
爸爸跟妈妈都不在家。,Neither Mum nor Dad are at home.
我跟哥哥都在中国上学。,My brother and I both go to school in China.
这家饭馆的菜很好吃，但/但是有点儿贵。,"The food at this restaurant is delicious, but it's a bit pricey."
你不舒服，那就别去了。,"If you're not feeling well, then don't go."
手机虽然不大，但/但是能帮我们做很多事。,"Although mobile phones aren't very big, they can help us do a lot of things."
你想喝茶还是喝咖啡？,Would you like tea or coffee?
因为我最近每天看手机，所以眼睛有点儿不舒服。,"As I've been looking at my mobile every day recently, my eyes are feeling a bit sore."
他汉语说得很好。,He speaks Chinese very well.
大家正在高兴地唱歌。,Everyone was happily singing.
你学过中文吗？,Have you ever learnt Chinese?
我没去过北京。,I've never been to Beijing.
他穿着一条黑色的裤子。,He was wearing a pair of black trousers.
教室的门开着。,The classroom door was open.
他们唱着歌，跳着舞，非常高兴。,"They were singing and dancing, and were having a wonderful time."
她怎么不在家呢？,Why isn't she at home?
明天你想去哪儿呢？,Where would you like to go tomorrow?
这是你的手机吧？,"Is this your mobile, by any chance?"
